episode_id,context_label,n_steps,sap,mecha,possession_fraction,region_counts,npz_path,audit_path,flags
11,early_neutral,3001,18.29,0.1055,0.379,"{""early_neutral"": 421, ""mid_neutral"": 600, ""late_winning"": 0, ""late_losing"": 0, ""other"": 1980}",/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/episodes/early_neutral_ep11.npz,/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/audit/early_neutral_ep11_audit.json,
12,early_neutral,3001,12.93,0.1093,0.482,"{""early_neutral"": 0, ""mid_neutral"": 239, ""late_winning"": 0, ""late_losing"": 0, ""other"": 2762}",/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/episodes/early_neutral_ep12.npz,/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/audit/early_neutral_ep12_audit.json,
13,early_neutral,3001,13.93,0.1001,0.48,"{""early_neutral"": 0, ""mid_neutral"": 0, ""late_winning"": 803, ""late_losing"": 0, ""other"": 2198}",/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/episodes/early_neutral_ep13.npz,/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/audit/early_neutral_ep13_audit.json,
14,early_neutral,3001,34.99,0.1064,0.198,"{""early_neutral"": 0, ""mid_neutral"": 71, ""late_winning"": 0, ""late_losing"": 0, ""other"": 2930}",/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/episodes/early_neutral_ep14.npz,/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/audit/early_neutral_ep14_audit.json,
15,early_neutral,3001,29.96,0.1073,0.258,"{""early_neutral"": 58, ""mid_neutral"": 568, ""late_winning"": 53, ""late_losing"": 0, ""other"": 2322}",/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/episodes/early_neutral_ep15.npz,/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/audit/early_neutral_ep15_audit.json,
16,early_neutral,3001,23.76,0.1099,0.456,"{""early_neutral"": 0, ""mid_neutral"": 174, ""late_winning"": 0, ""late_losing"": 0, ""other"": 2827}",/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/episodes/early_neutral_ep16.npz,/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/audit/early_neutral_ep16_audit.json,
17,early_neutral,3001,20.16,0.1108,0.344,"{""early_neutral"": 900, ""mid_neutral"": 556, ""late_winning"": 0, ""late_losing"": 706, ""other"": 839}",/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/episodes/early_neutral_ep17.npz,/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/audit/early_neutral_ep17_audit.json,
18,mid_neutral,3001,25.99,0.1083,0.425,"{""early_neutral"": 0, ""mid_neutral"": 196, ""late_winning"": 0, ""late_losing"": 0, ""other"": 2805}",/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/episodes/mid_neutral_ep18.npz,/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/audit/mid_neutral_ep18_audit.json,
19,mid_neutral,3001,19.16,0.0976,0.383,"{""early_neutral"": 686, ""mid_neutral"": 0, ""late_winning"": 636, ""late_losing"": 0, ""other"": 1679}",/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/episodes/mid_neutral_ep19.npz,/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/audit/mid_neutral_ep19_audit.json,
20,mid_neutral,3001,18.93,0.1169,0.391,"{""early_neutral"": 0, ""mid_neutral"": 0, ""late_winning"": 0, ""late_losing"": 565, ""other"": 2436}",/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/episodes/mid_neutral_ep20.npz,/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/audit/mid_neutral_ep20_audit.json,
21,mid_neutral,3001,20.89,0.099,0.293,"{""early_neutral"": 0, ""mid_neutral"": 0, ""late_winning"": 0, ""late_losing"": 774, ""other"": 2227}",/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/episodes/mid_neutral_ep21.npz,/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/audit/mid_neutral_ep21_audit.json,
22,mid_neutral,3001,20.43,0.1213,0.373,"{""early_neutral"": 900, ""mid_neutral"": 600, ""late_winning"": 0, ""late_losing"": 0, ""other"": 1501}",/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/episodes/mid_neutral_ep22.npz,/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/audit/mid_neutral_ep22_audit.json,
23,mid_neutral,3001,15.83,0.1024,0.351,"{""early_neutral"": 0, ""mid_neutral"": 0, ""late_winning"": 0, ""late_losing"": 0, ""other"": 3001}",/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/episodes/mid_neutral_ep23.npz,/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/audit/mid_neutral_ep23_audit.json,
24,mid_neutral,3001,14.46,0.0956,0.307,"{""early_neutral"": 0, ""mid_neutral"": 525, ""late_winning"": 0, ""late_losing"": 0, ""other"": 2476}",/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/episodes/mid_neutral_ep24.npz,/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/audit/mid_neutral_ep24_audit.json,
25,mid_neutral,3001,10.06,0.111,0.495,"{""early_neutral"": 719, ""mid_neutral"": 600, ""late_winning"": 0, ""late_losing"": 0, ""other"": 1682}",/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/episodes/mid_neutral_ep25.npz,/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/audit/mid_neutral_ep25_audit.json,
26,mid_neutral,3001,19.06,0.0991,0.317,"{""early_neutral"": 66, ""mid_neutral"": 600, ""late_winning"": 0, ""late_losing"": 0, ""other"": 2335}",/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/episodes/mid_neutral_ep26.npz,/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/audit/mid_neutral_ep26_audit.json,
27,mid_neutral,3001,24.96,0.0972,0.326,"{""early_neutral"": 0, ""mid_neutral"": 0, ""late_winning"": 0, ""late_losing"": 209, ""other"": 2792}",/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/episodes/mid_neutral_ep27.npz,/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/audit/mid_neutral_ep27_audit.json,
28,mid_neutral,3001,36.09,0.1074,0.331,"{""early_neutral"": 900, ""mid_neutral"": 600, ""late_winning"": 0, ""late_losing"": 0, ""other"": 1501}",/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/episodes/mid_neutral_ep28.npz,/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/audit/mid_neutral_ep28_audit.json,
29,mid_neutral,3001,32.09,0.0881,0.279,"{""early_neutral"": 98, ""mid_neutral"": 232, ""late_winning"": 0, ""late_losing"": 0, ""other"": 2671}",/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/episodes/mid_neutral_ep29.npz,/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/audit/mid_neutral_ep29_audit.json,
30,mid_neutral,3001,18.16,0.0941,0.335,"{""early_neutral"": 900, ""mid_neutral"": 600, ""late_winning"": 0, ""late_losing"": 0, ""other"": 1501}",/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/episodes/mid_neutral_ep30.npz,/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/audit/mid_neutral_ep30_audit.json,
31,mid_neutral,3001,29.32,0.095,0.286,"{""early_neutral"": 0, ""mid_neutral"": 0, ""late_winning"": 0, ""late_losing"": 635, ""other"": 2366}",/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/episodes/mid_neutral_ep31.npz,/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/audit/mid_neutral_ep31_audit.json,
32,mid_neutral,3001,17.79,0.0987,0.326,"{""early_neutral"": 610, ""mid_neutral"": 229, ""late_winning"": 0, ""late_losing"": 0, ""other"": 2162}",/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/episodes/mid_neutral_ep32.npz,/home/urstr/dissertation/context-aware-magail-grf/data/demonstrations/audit/mid_neutral_ep32_audit.json,
